S 32 32
A 0 0 61 | 10 0 0 10 | 10 0 0 10
A 0 2 4 | 10 0 0 10 | 10 0 0 10
A 0 2 47 | 10 0 0 10 | 10 0 0 10
A 0 4 3 | 10 0 0 10 | 10 0 0 10
A 0 6 85 | 10 0 0 10 | 10 0 0 10
A 0 6 47 | 10 0 0 10 | 10 0 0 10
A 0 6 65 | 10 0 0 10 | 10 0 0 10
A 0 7 9 | 10 0 0 10 | 10 0 0 10
A 0 7 35 | 10 0 0 10 | 10 0 0 10
A 0 7 64 | 10 0 0 10 | 10 0 0 10
A 0 8 19 | 10 0 0 10 | 10 0 0 10
A 0 9 39 | 10 0 0 10 | 10 0 0 10
A 0 9 60 | 10 0 0 10 | 10 0 0 10
A 0 9 31 | 10 0 0 10 | 10 0 0 10
A 0 11 30 | 10 0 0 10 | 10 0 0 10
A 0 11 79 | 10 0 0 10 | 10 0 0 10
A 0 13 36 | 10 0 0 10 | 10 0 0 10
A 0 13 31 | 10 0 0 10 | 10 0 0 10
A 0 15 50 | 10 0 0 10 | 10 0 0 10
A 0 15 17 | 10 0 0 10 | 10 0 0 10
A 0 16 8 | 10 0 0 10 | 10 0 0 10
A 0 18 7 | 10 0 0 10 | 10 0 0 10
A 0 18 17 | 10 0 0 10 | 10 0 0 10
A 0 18 0 | 10 0 0 10 | 10 0 0 10
A 0 18 94 | 10 0 0 10 | 10 0 0 10
A 0 19 83 | 10 0 0 10 | 10 0 0 10
A 0 21 2 | 10 0 0 10 | 10 0 0 10
A 0 22 50 | 10 0 0 10 | 10 0 0 10
A 0 24 31 | 10 0 0 10 | 10 0 0 10
A 0 24 41 | 10 0 0 10 | 10 0 0 10
A 0 25 92 | 10 0 0 10 | 10 0 0 10
A 0 25 37 | 10 0 0 10 | 10 0 0 10
A 0 26 3 | 10 0 0 10 | 10 0 0 10
A 0 30 3 | 10 0 0 10 | 10 0 0 10
A 0 30 86 | 10 0 0 10 | 10 0 0 10
A 0 30 72 | 10 0 0 10 | 10 0 0 10
