S 13 13
# Place apartments around
# the outside of the city
# Apartments are very unattriactive
# destinations at the beginning of the
# day and very attractive at the end
# Apartments release quickly at the start
# of the day and less as the day goes on
#
#           Attractiveness                   Release Time
A  0  0 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  0  1 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  0  2 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  0  3 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  0  4 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  0  5 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  0  6 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  0  7 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  0  8 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  0  9 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  0 10 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  0 11 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  0 12 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 12  0 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 12  1 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 12  2 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 12  3 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 12  4 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 12  5 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 12  6 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 12  7 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 12  8 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 12  9 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 12 10 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 12 11 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 12 12 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  1  0 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  2  0 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  3  0 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  4  0 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  5  0 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  6  0 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  7  0 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  8  0 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  9  0 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 10  0 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 11  0 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 12  0 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  1 12 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  2 12 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  3 12 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  4 12 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  5 12 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  6 12 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  7 12 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  8 12 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A  9 12 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 10 12 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 11 12 50 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100


# A single movie theater that remains
# attriactive throughout the day
# and released three times
M 6 6 0   | 100  0 3000 100                | 1000 3000 3000 3000
M 6 6 0   | 100  0 3000 100                | 1000 3000 3000 3000
