S 16 16
A 0 0 58 | 10 0 0 10 | 10 0 0 10
A 0 3 52 | 10 0 0 10 | 10 0 0 10
A 0 4 13 | 10 0 0 10 | 10 0 0 10
A 0 4 79 | 10 0 0 10 | 10 0 0 10
A 0 4 49 | 10 0 0 10 | 10 0 0 10
A 0 7 50 | 10 0 0 10 | 10 0 0 10
A 0 7 14 | 10 0 0 10 | 10 0 0 10
A 0 9 19 | 10 0 0 10 | 10 0 0 10
A 0 10 5 | 10 0 0 10 | 10 0 0 10
A 0 12 79 | 10 0 0 10 | 10 0 0 10
A 0 12 6 | 10 0 0 10 | 10 0 0 10
A 1 3 5 | 10 0 0 10 | 10 0 0 10
A 1 4 18 | 10 0 0 10 | 10 0 0 10
A 1 7 13 | 10 0 0 10 | 10 0 0 10
A 1 8 41 | 10 0 0 10 | 10 0 0 10
A 1 8 36 | 10 0 0 10 | 10 0 0 10
A 1 11 73 | 10 0 0 10 | 10 0 0 10
A 1 13 6 | 10 0 0 10 | 10 0 0 10
A 1 14 26 | 10 0 0 10 | 10 0 0 10
A 2 0 38 | 10 0 0 10 | 10 0 0 10
A 2 2 31 | 10 0 0 10 | 10 0 0 10
A 2 2 32 | 10 0 0 10 | 10 0 0 10
A 2 4 37 | 10 0 0 10 | 10 0 0 10
A 2 4 56 | 10 0 0 10 | 10 0 0 10
A 2 5 3 | 10 0 0 10 | 10 0 0 10
A 2 6 8 | 10 0 0 10 | 10 0 0 10
A 2 7 77 | 10 0 0 10 | 10 0 0 10
A 2 10 86 | 10 0 0 10 | 10 0 0 10
A 2 11 30 | 10 0 0 10 | 10 0 0 10
A 2 11 56 | 10 0 0 10 | 10 0 0 10
A 2 14 70 | 10 0 0 10 | 10 0 0 10
A 3 1 62 | 10 0 0 10 | 10 0 0 10
A 3 2 23 | 10 0 0 10 | 10 0 0 10
A 3 4 54 | 10 0 0 10 | 10 0 0 10
A 3 6 21 | 10 0 0 10 | 10 0 0 10
A 3 8 36 | 10 0 0 10 | 10 0 0 10
A 3 9 73 | 10 0 0 10 | 10 0 0 10
A 3 9 17 | 10 0 0 10 | 10 0 0 10
A 3 10 35 | 10 0 0 10 | 10 0 0 10
A 3 11 88 | 10 0 0 10 | 10 0 0 10
A 3 11 12 | 10 0 0 10 | 10 0 0 10
A 3 12 91 | 10 0 0 10 | 10 0 0 10
A 3 12 9 | 10 0 0 10 | 10 0 0 10
