S 6 6
# Place apartments around
# the outside of the city
# Apartments are very unattriactive
# destinations at the beginning of the
# day and very attractive at the end
# Apartments release quickly at the start
# of the day and less as the day goes on
#
#           Attractiveness                   Release Time
A 0 0 100 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 0 1 100 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 0 2 100 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 0 3 100 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 0 4 100 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 0 5 100 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 1 0 100 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 2 0 100 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 3 0 100 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 4 0 100 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 5 0 100 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 5 1 100 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 5 2 100 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 5 3 100 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 5 4 100 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 5 5 100 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 4 5 100 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 3 5 100 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 2 5 100 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100
A 1 5 100 | 0    0 2000 0    2001 3000 100 | 0    0 1000 5    1001 3000 100

# A single movie theater that remains
# attriactive throughout the day
# and released three times
M 3 3 0   | 100  0 3000 100                | 1000 0 3000 1000
M 4 4 0   | 100  0 3000 100                | 1000 0 3000 1000
M 2 2 0   | 100  0 3000 100                | 1000 0 3000 1000
