0 0 | 6 9  | 20 20 
1 0 | 6 8 9  | 20 20 20 
2 0 | 6 8 9  | 20 20 20 
3 0 | 6 8 9  | 20 30 20 
4 0 | 6 8 9  | 20 20 20 
5 0 | 8 9  | 20 20 
0 1 | 6 7 9  | 20 20 20 
1 1 | 6 7 8 9  | 20 20 20 20 
2 1 | 7 8 9  | 20 20 20 
3 1 | 8 7 9  | 20 30 20 
4 1 | 6 7 8 9  | 40 20 20 20 
5 1 | 7 8 9  | 20 20 20 
0 2 | 6 7 9  | 20 20 20 
1 2 | 6 7 8  | 40 40 20 
2 2 | 6 8 9  | 40 20 40 
3 2 | 6 7 9  | 40 40 20 
4 2 | 6 9  | 20 20 
5 2 | 7 8 9  | 20 20 20 
0 3 | 6 7 9  | 20 20 20 
1 3 | 6 7 8  | 20 60 20 
2 3 | 6 7 8 9  | 20 20 20 20 
3 3 | 6 7 9  | 20 30 40 
4 3 | 6 8 9 7  | 20 30 20 20 
5 3 | 7 8 9  | 20 30 20 
0 4 | 6 7 9  | 20 20 20 
1 4 | 6 7 8 9  | 20 60 20 20 
2 4 | 6 7 9  | 20 50 20 
3 4 | 6 9  | 20 40 
4 4 | 6 7 9  | 20 20 20 
5 4 | 7 8 9  | 20 40 20 
0 5 | 6 7  | 20 20 
1 5 | 6 7 8  | 20 30 40 
2 5 | 6 7 8  | 20 30 40 
3 5 | 6 7 8  | 20 30 40 
4 5 | 6 7 8  | 20 20 40 
5 5 | 7 8  | 40 20 
