# Anthony's attempt at timed lights

default | 6 8 7 9 2 4 5 | 20 20 20 20 20 20 20
0 0 	| 6 9 | 20 20
5 0	| 8 9 | 20 20
0 5	| 6 7 | 20 20
5 5	| 7 8 | 20 20
0 1	| 6 7 9 | 20 20 20
0 2	| 6 7 9 | 20 20 20
0 3	| 6 7 9 | 20 20 20
0 4	| 6 7 9 | 20 20 20
5 1	| 7 8 9 | 20 20 20
5 2	| 7 8 9 | 20 20 20
5 3	| 7 8 9 | 20 20 20
5 4	| 7 8 9 | 20 20 20
1 0	| 6 8 9 | 20 20 20
2 0	| 6 8 9 | 20 20 20
3 0	| 6 8 9 | 20 20 20
4 0	| 6 8 9 | 20 20 20
1 5	| 6 7 8 | 20 20 20
2 5	| 6 7 8 | 20 20 20
3 5	| 6 7 8 | 20 20 20
4 5	| 6 7 8 | 20 20 20
