10
i,0,0,0
i,1,25,0
i,2,50,0
i,3,125,0
i,4,150,0
i,5,175,0
i,6,0,25
i,7,75,25
i,8,100,25
i,9,125,50
i,10,0,75
i,11,50,75
i,12,100,75
i,13,125,75
i,14,175,75
i,15,25,100
i,16,50,100
i,17,75,100
i,18,100,100
i,19,125,100
i,20,0,125
i,21,125,125
i,22,150,125
i,23,0,150
i,24,50,150
i,25,75,150
i,26,100,150
i,27,125,150
i,28,150,150
i,29,175,150
i,30,25,175
i,31,50,175
i,32,75,175
i,33,100,175
i,34,125,175
i,35,150,175
r,0,0,1,1.793204752457366
r,1,1,0,1.793204752457366
r,2,1,2,1.9290526146693445
r,3,2,1,1.9290526146693445
r,4,2,3,1.780980584861107
r,5,3,2,1.780980584861107
r,6,3,4,1.786388351605813
r,7,4,3,1.786388351605813
r,8,4,5,1.2971762527610724
r,9,5,4,1.2971762527610724
r,10,0,6,1.1758259251612388
r,11,6,0,1.1758259251612388
r,12,2,7,1.8874469610710918
r,13,7,2,1.8874469610710918
r,14,6,7,1.6338618905642652
r,15,7,6,1.6338618905642652
r,16,3,8,1.4096563851576773
r,17,8,3,1.4096563851576773
r,18,7,8,1.6302387655113024
r,19,8,7,1.6302387655113024
r,20,8,9,1.5787391048295136
r,21,9,8,1.5787391048295136
r,22,9,10,1.7890508318837282
r,23,10,9,1.7890508318837282
r,24,9,11,1.2585881291147833
r,25,11,9,1.2585881291147833
r,26,10,11,1.468060525852494
r,27,11,10,1.468060525852494
r,28,9,12,1.3925338303426225
r,29,12,9,1.3925338303426225
r,30,11,12,1.545274776145893
r,31,12,11,1.545274776145893
r,32,9,13,1.7702898818462924
r,33,13,9,1.7702898818462924
r,34,12,13,1.8351124325721886
r,35,13,12,1.8351124325721886
r,36,9,14,1.3744798649094472
r,37,14,9,1.3744798649094472
r,38,13,14,1.3921394902161053
r,39,14,13,1.3921394902161053
r,40,10,15,1.7719352677399047
r,41,15,10,1.7719352677399047
r,42,11,16,1.3454327941796642
r,43,16,11,1.3454327941796642
r,44,15,16,1.1056438594447067
r,45,16,15,1.1056438594447067
r,46,11,17,1.7842693228342594
r,47,17,11,1.7842693228342594
r,48,16,17,1.8042994219943977
r,49,17,16,1.8042994219943977
r,50,12,18,1.1503384526415719
r,51,18,12,1.1503384526415719
r,52,17,18,1.677881227829074
r,53,18,17,1.677881227829074
r,54,13,19,1.8717813791033793
r,55,19,13,1.8717813791033793
r,56,18,19,1.481618299452247
r,57,19,18,1.481618299452247
r,58,15,20,1.9613916803614786
r,59,20,15,1.9613916803614786
r,60,19,21,1.7705441867183578
r,61,21,19,1.7705441867183578
r,62,20,21,1.7618411192654564
r,63,21,20,1.7618411192654564
r,64,19,22,1.3215629365751589
r,65,22,19,1.3215629365751589
r,66,21,22,1.1430181273619935
r,67,22,21,1.1430181273619935
r,68,20,23,1.9872942414165937
r,69,23,20,1.9872942414165937
r,70,20,24,1.7287586268935058
r,71,24,20,1.7287586268935058
r,72,23,24,1.2186392122399368
r,73,24,23,1.2186392122399368
r,74,21,25,1.6710968891838311
r,75,25,21,1.6710968891838311
r,76,24,25,1.033783085498031
r,77,25,24,1.033783085498031
r,78,21,26,1.180505399696076
r,79,26,21,1.180505399696076
r,80,25,26,1.2935559670153465
r,81,26,25,1.2935559670153465
r,82,21,27,1.779341918585404
r,83,27,21,1.779341918585404
r,84,26,27,1.9663681778099056
r,85,27,26,1.9663681778099056
r,86,22,28,1.35577944818356
r,87,28,22,1.35577944818356
r,88,27,28,1.1834345707432523
r,89,28,27,1.1834345707432523
r,90,22,29,1.0032484043541423
r,91,29,22,1.0032484043541423
r,92,28,29,1.9205255907661343
r,93,29,28,1.9205255907661343
r,94,23,30,1.7618403602978154
r,95,30,23,1.7618403602978154
r,96,24,31,1.465973195609453
r,97,31,24,1.465973195609453
r,98,30,31,1.006672764027384
r,99,31,30,1.006672764027384
r,100,25,32,1.4551511817265799
r,101,32,25,1.4551511817265799
r,102,31,32,1.2879956409218771
r,103,32,31,1.2879956409218771
r,104,26,33,1.5742992750678781
r,105,33,26,1.5742992750678781
r,106,32,33,1.6530667340408884
r,107,33,32,1.6530667340408884
r,108,27,34,1.0602741117160694
r,109,34,27,1.0602741117160694
r,110,33,34,1.554803925861727
r,111,34,33,1.554803925861727
r,112,28,35,1.5839301241887467
r,113,35,28,1.5839301241887467
r,114,34,35,1.4907787714896314
r,115,35,34,1.4907787714896314
c,0,4,22,1,*
c,1,25,16,6,*
c,2,17,29,4,*
c,3,1,7,2,*
c,4,32,28,2,*
c,5,25,11,8,*
c,6,5,32,3,*
c,7,16,34,7,*
c,8,13,20,6,*
c,9,5,8,2,*
c,10,0,31,3,*
c,11,19,8,2,*
c,12,7,20,0,*
c,13,32,14,3,*
c,14,2,20,6,*
c,15,34,8,9,*
c,16,25,31,1,*
c,17,22,23,9,*
c,18,4,34,6,*
c,19,14,7,1,*
c,20,30,1,8,*
c,21,10,25,6,*
c,22,15,19,5,*
c,23,12,19,0,*
c,24,18,35,2,*
c,25,14,31,0,*
c,26,19,10,2,*
c,27,6,26,4,*
c,28,12,24,9,*
c,29,30,3,7,*
c,30,9,21,2,*
c,31,4,18,0,*
c,32,32,30,7,*
c,33,23,35,4,*
c,34,16,4,9,*
c,35,20,15,8,*
c,36,23,33,5,*
c,37,24,8,6,*
c,38,15,33,3,*
c,39,27,14,3,*
c,40,15,24,1,*
c,41,32,19,0,*
c,42,33,31,2,*
c,43,0,23,2,*
c,44,22,17,3,*
c,45,23,29,7,*
c,46,32,19,2,*
c,47,21,23,6,*
c,48,20,22,8,*
c,49,29,7,3,*
c,50,2,9,2,*
c,51,20,15,2,*
c,52,29,14,2,*
c,53,35,15,8,*
c,54,27,31,8,*
c,55,13,12,6,*
c,56,24,33,9,*
c,57,5,24,3,*
c,58,32,19,9,*
c,59,23,19,9,*
c,60,7,0,2,*
c,61,5,27,8,*
c,62,9,28,6,*
c,63,21,0,9,*
c,64,5,35,5,*
c,65,14,1,0,*
c,66,20,2,7,*
c,67,13,35,8,*
c,68,32,11,9,*
c,69,33,9,4,*
c,70,16,21,2,*
c,71,8,23,7,*
c,72,33,6,6,*
c,73,22,26,7,*
c,74,32,26,8,*
c,75,26,32,0,*
c,76,0,25,4,*
c,77,4,6,7,*
c,78,32,21,1,*
c,79,33,8,2,*
c,80,14,31,3,*
c,81,3,6,7,*
c,82,32,0,3,*
c,83,6,21,0,*
c,84,8,30,7,*
c,85,18,32,8,*
c,86,10,17,9,*
c,87,14,11,2,*
c,88,4,17,9,*
c,89,14,33,8,*
c,90,0,14,7,*
c,91,2,10,6,*
c,92,6,24,5,*
c,93,28,16,1,*
c,94,0,27,1,*
c,95,2,8,0,*
c,96,25,23,1,*
c,97,1,25,5,*
c,98,26,20,8,*
c,99,14,33,4,*
c,100,32,13,6,*
c,101,15,28,7,*
c,102,20,12,8,*
c,103,21,7,8,*
c,104,30,13,6,*
c,105,3,26,5,*
c,106,32,29,6,*
c,107,4,3,3,*
c,108,6,18,6,*
c,109,15,12,0,*
c,110,19,28,6,*
c,111,26,23,0,*
c,112,15,20,3,*
c,113,25,5,9,*
c,114,4,2,1,*
c,115,31,17,9,*
c,116,28,10,8,*
c,117,9,35,2,*
c,118,22,17,7,*
c,119,21,9,7,*
c,120,31,8,4,*
c,121,34,2,5,*
c,122,31,16,0,*
c,123,19,35,4,*
c,124,16,17,5,*
c,125,23,33,8,*
c,126,2,24,1,*
c,127,2,16,0,*
c,128,14,19,5,*
c,129,27,6,4,*
c,130,32,19,8,*
c,131,21,31,5,*
c,132,21,15,2,*
c,133,35,13,0,*
c,134,8,11,9,*
c,135,4,28,8,*
c,136,18,24,8,*
c,137,11,12,2,*
c,138,29,9,9,*
c,139,25,10,7,*
c,140,4,8,1,*
c,141,27,35,2,*
c,142,34,11,4,*
c,143,30,20,2,*
c,144,29,17,4,*
c,145,19,21,8,*
c,146,27,18,1,*
c,147,23,30,5,*
c,148,22,25,0,*
c,149,13,7,4,*
c,150,33,13,4,*
c,151,28,31,5,*
c,152,1,14,6,*
c,153,13,3,2,*
c,154,28,16,0,*
c,155,33,27,0,*
c,156,3,33,2,*
c,157,16,17,5,*
c,158,5,35,0,*
c,159,20,25,3,*
c,160,8,23,1,*
c,161,31,25,8,*
c,162,10,27,4,*
c,163,13,28,1,*
c,164,8,13,0,*
c,165,2,32,6,*
c,166,29,13,5,*
c,167,4,32,2,*
c,168,19,11,3,*
c,169,10,21,2,*
c,170,32,26,1,*
c,171,8,12,8,*
c,172,35,0,3,*
c,173,31,33,1,*
c,174,34,18,9,*
c,175,5,21,0,*
c,176,1,11,2,*
c,177,22,0,5,*
c,178,3,7,3,*
c,179,34,12,9,*
c,180,13,33,2,*
c,181,35,34,6,*
c,182,9,10,5,*
c,183,31,12,2,*
c,184,33,1,4,*
c,185,14,16,4,*
c,186,16,34,6,*
c,187,2,20,7,*
c,188,26,17,8,*
c,189,3,20,4,*
c,190,21,20,6,*
c,191,26,21,8,*
c,192,16,17,9,*
c,193,20,1,3,*
c,194,8,2,3,*
c,195,17,2,0,*
c,196,32,35,6,*
c,197,21,26,3,*
c,198,27,3,5,*
c,199,3,18,7,*
c,200,12,16,4,*
c,201,14,20,9,*
c,202,35,24,4,*
c,203,30,11,3,*
c,204,16,8,3,*
c,205,34,25,7,*
c,206,0,5,8,*
c,207,13,19,3,*
c,208,25,13,3,*
c,209,14,6,9,*
c,210,20,34,4,*
c,211,9,12,6,*
c,212,0,29,0,*
c,213,35,3,3,*
c,214,16,12,4,*
c,215,26,13,3,*
c,216,7,24,2,*
c,217,28,20,0,*
c,218,10,35,5,*
c,219,18,12,6,*
c,220,34,11,6,*
c,221,21,22,9,*
c,222,26,24,0,*
c,223,10,29,6,*
c,224,18,20,7,*
c,225,16,31,3,*
c,226,16,23,9,*
c,227,19,11,0,*
c,228,29,4,7,*
c,229,20,9,4,*
c,230,11,17,8,*
c,231,24,23,7,*
c,232,2,13,7,*
c,233,25,0,6,*
c,234,10,21,1,*
c,235,27,33,3,*
c,236,13,26,6,*
c,237,11,5,3,*
c,238,20,32,2,*
c,239,22,13,9,*
c,240,12,34,5,*
c,241,2,16,7,*
c,242,1,35,6,*
c,243,33,30,7,*
c,244,1,28,9,*
c,245,34,32,1,*
c,246,9,14,5,*
c,247,10,11,9,*
c,248,26,27,1,*
c,249,21,26,2,*
c,250,28,31,5,*
c,251,29,26,5,*
c,252,10,23,9,*
c,253,18,8,1,*
c,254,25,5,7,*
c,255,8,17,5,*
c,256,22,33,7,*
c,257,24,23,6,*
c,258,22,6,8,*
c,259,34,7,7,*
c,260,32,30,7,*
c,261,19,16,5,*
c,262,28,2,6,*
c,263,5,7,7,*
c,264,30,15,6,*
c,265,29,28,7,*
c,266,7,8,0,*
c,267,15,30,1,*
c,268,24,35,6,*
c,269,26,3,1,*
c,270,18,9,3,*
c,271,11,15,9,*
c,272,9,11,1,*
c,273,31,14,6,*
c,274,19,5,4,*
c,275,7,13,4,*
c,276,32,31,4,*
c,277,33,1,0,*
c,278,11,9,0,*
c,279,12,0,7,*
c,280,6,27,2,*
c,281,26,5,2,*
c,282,30,14,5,*
c,283,7,18,6,*
c,284,24,12,4,*
c,285,31,19,1,*
c,286,11,26,0,*
c,287,21,34,5,*
c,288,19,11,4,*
c,289,8,12,8,*
c,290,18,6,7,*
c,291,35,28,3,*
c,292,3,28,6,*
c,293,20,2,0,*
c,294,7,29,4,*
c,295,20,32,1,*
c,296,35,0,4,*
c,297,33,28,2,*
c,298,31,16,0,*
c,299,9,20,9,*
c,300,28,1,2,*
c,301,26,34,9,*
c,302,26,2,1,*
c,303,0,13,9,*
c,304,29,7,0,*
c,305,8,28,5,*
c,306,4,8,9,*
c,307,33,25,5,*
c,308,28,9,8,*
c,309,11,23,2,*
c,310,10,7,7,*
c,311,30,3,2,*
c,312,32,13,3,*
c,313,24,3,5,*
c,314,25,9,9,*
c,315,29,6,0,*
c,316,34,22,3,*
c,317,0,16,7,*
c,318,1,33,1,*
c,319,32,24,7,*
c,320,30,12,4,*
c,321,34,25,7,*
c,322,31,6,1,*
c,323,32,7,5,*
c,324,6,10,2,*
c,325,6,20,4,*
c,326,1,25,9,*
c,327,0,9,6,*
c,328,14,11,4,*
c,329,2,10,0,*
c,330,32,20,2,*
c,331,6,17,5,*
c,332,19,34,2,*
c,333,27,12,1,*
c,334,26,11,7,*
c,335,24,22,0,*
c,336,6,5,8,*
c,337,14,18,6,*
