10
i,0,25,0
i,1,50,0
i,2,125,0
i,3,150,0
i,4,25,25
i,5,75,25
i,6,100,25
i,7,125,25
i,8,150,25
i,9,50,50
i,10,75,50
i,11,125,50
i,12,175,50
i,13,0,75
i,14,25,75
i,15,50,75
i,16,75,75
i,17,150,75
i,18,0,100
i,19,100,100
i,20,0,125
i,21,25,125
i,22,100,125
i,23,50,150
i,24,125,150
i,25,175,150
i,26,0,175
i,27,25,175
i,28,50,175
i,29,75,175
i,30,125,175
i,31,150,175
i,32,175,175
r,0,0,1,1.8855458675949797
r,1,1,0,1.8855458675949797
r,2,1,2,1.494281408348203
r,3,2,1,1.494281408348203
r,4,2,3,1.054935892824106
r,5,3,2,1.054935892824106
r,6,0,4,1.0207656332400328
r,7,4,0,1.0207656332400328
r,8,1,5,1.0018708961119502
r,9,5,1,1.0018708961119502
r,10,4,5,1.333266548446741
r,11,5,4,1.333266548446741
r,12,2,6,1.9193137235900677
r,13,6,2,1.9193137235900677
r,14,5,6,1.6319584003532617
r,15,6,5,1.6319584003532617
r,16,2,7,1.5929038542823795
r,17,7,2,1.5929038542823795
r,18,6,7,1.9119561156591658
r,19,7,6,1.9119561156591658
r,20,3,8,1.3233087225925564
r,21,8,3,1.3233087225925564
r,22,7,8,1.1932712379324935
r,23,8,7,1.1932712379324935
r,24,4,9,1.8411648809221246
r,25,9,4,1.8411648809221246
r,26,5,10,1.9865703504248073
r,27,10,5,1.9865703504248073
r,28,9,10,1.2638687149621413
r,29,10,9,1.2638687149621413
r,30,7,11,1.2466539100293548
r,31,11,7,1.2466539100293548
r,32,10,11,1.746853543400317
r,33,11,10,1.746853543400317
r,34,8,12,1.7119884259910592
r,35,12,8,1.7119884259910592
r,36,11,12,1.8470699528199992
r,37,12,11,1.8470699528199992
r,38,9,13,1.7252199793263427
r,39,13,9,1.7252199793263427
r,40,9,14,1.1776291930257017
r,41,14,9,1.1776291930257017
r,42,13,14,1.1197423199103493
r,43,14,13,1.1197423199103493
r,44,9,15,1.2273442679661943
r,45,15,9,1.2273442679661943
r,46,14,15,1.2407814570412317
r,47,15,14,1.2407814570412317
r,48,10,16,1.9238971796145008
r,49,16,10,1.9238971796145008
r,50,15,16,1.7719969353366154
r,51,16,15,1.7719969353366154
r,52,11,17,1.074802747619215
r,53,17,11,1.074802747619215
r,54,16,17,1.454205956696165
r,55,17,16,1.454205956696165
r,56,13,18,1.467723654472791
r,57,18,13,1.467723654472791
r,58,16,19,1.3862810725460997
r,59,19,16,1.3862810725460997
r,60,18,19,1.3815293675585782
r,61,19,18,1.3815293675585782
r,62,18,20,1.626268062872818
r,63,20,18,1.626268062872818
