10
i,0,25,0
i,1,75,0
i,2,100,0
i,3,125,0
i,4,150,0
i,5,25,25
i,6,50,25
i,7,100,25
i,8,25,50
i,9,50,50
i,10,100,50
i,11,125,50
i,12,175,50
i,13,25,75
i,14,50,75
i,15,75,75
i,16,150,75
i,17,175,75
i,18,0,100
i,19,25,100
i,20,175,100
i,21,0,125
i,22,125,125
i,23,150,125
i,24,175,125
i,25,0,150
i,26,25,150
i,27,100,150
i,28,125,150
i,29,175,150
i,30,25,175
i,31,75,175
i,32,100,175
r,0,0,1,1.5335426054846035
r,1,1,0,1.5335426054846035
r,2,1,2,1.6980686923609338
r,3,2,1,1.6980686923609338
r,4,2,3,1.1290742463882348
r,5,3,2,1.1290742463882348
r,6,3,4,1.0467075031346584
r,7,4,3,1.0467075031346584
r,8,0,5,1.6741650671185941
r,9,5,0,1.6741650671185941
r,10,0,6,1.922010078622548
r,11,6,0,1.922010078622548
r,12,5,6,1.9362543513074528
r,13,6,5,1.9362543513074528
r,14,2,7,1.8902945426750193
r,15,7,2,1.8902945426750193
r,16,6,7,1.3229571070200579
r,17,7,6,1.3229571070200579
r,18,5,8,1.6706695030941252
r,19,8,5,1.6706695030941252
r,20,6,9,1.6975365579460377
r,21,9,6,1.6975365579460377
r,22,8,9,1.9474558838376732
r,23,9,8,1.9474558838376732
r,24,7,10,1.9827345807756926
r,25,10,7,1.9827345807756926
r,26,9,10,1.866737339277896
r,27,10,9,1.866737339277896
r,28,7,11,1.659798676180872
r,29,11,7,1.659798676180872
r,30,10,11,1.857990754947592
r,31,11,10,1.857990754947592
r,32,7,12,1.2284969503166472
r,33,12,7,1.2284969503166472
r,34,11,12,1.7300476533641143
r,35,12,11,1.7300476533641143
r,36,8,13,1.751501903676814
r,37,13,8,1.751501903676814
r,38,9,14,1.8058094530298567
r,39,14,9,1.8058094530298567
r,40,13,14,1.5019316298150938
r,41,14,13,1.5019316298150938
r,42,9,15,1.1624510143352267
r,43,15,9,1.1624510143352267
r,44,14,15,1.1632887495816802
r,45,15,14,1.1632887495816802
r,46,11,16,1.7428484336962125
r,47,16,11,1.7428484336962125
r,48,15,16,1.9724379393410958
r,49,16,15,1.9724379393410958
r,50,12,17,1.2930587155699886
r,51,17,12,1.2930587155699886
r,52,16,17,1.0758267760167515
r,53,17,16,1.0758267760167515
r,54,13,18,1.582490538134436
r,55,18,13,1.582490538134436
r,56,13,19,1.4581066298997747
r,57,19,13,1.4581066298997747
r,58,18,19,1.1677370202942638
r,59,19,18,1.1677370202942638
r,60,17,20,1.837230182625548
r,61,20,17,1.837230182625548
r,62,19,20,1.5154804539346087
r,63,20,19,1.5154804539346087
r,64,18,21,1.8852230721142638
r,65,21,18,1.8852230721142638
r,66,20,22,1.6837326906629007
r,67,22,20,1.6837326906629007
r,68,21,22,1.7282712225271102
r,69,22,21,1.7282712225271102
r,70,20,23,1.503703830808639
r,71,23,20,1.503703830808639
r,72,22,23,1.0783677709327666
r,73,23,22,1.0783677709327666
r,74,20,24,1.6118426088204045
r,75,24,20,1.6118426088204045
r,76,23,24,1.0906343023147773
r,77,24,23,1.0906343023147773
r,78,21,25,1.1759918423204567
r,79,25,21,1.1759918423204567
r,80,21,26,1.4988429154066152
r,81,26,21,1.4988429154066152
r,82,25,26,1.0182641957414813
r,83,26,25,1.0182641957414813
r,84,22,27,1.7847795474808055
r,85,27,22,1.7847795474808055
r,86,26,27,1.0273216459002474
r,87,27,26,1.0273216459002474
r,88,22,28,1.4902060494787754
r,89,28,22,1.4902060494787754
r,90,27,28,1.3112086463369625
r,91,28,27,1.3112086463369625
r,92,24,29,1.63964721452154
r,93,29,24,1.63964721452154
r,94,28,29,1.7133076861713308
r,95,29,28,1.7133076861713308
r,96,26,30,1.5459361210220133
r,97,30,26,1.5459361210220133
r,98,27,31,1.0488278542571416
r,99,31,27,1.0488278542571416
r,100,30,31,1.0296265547806287
r,101,31,30,1.0296265547806287
r,102,27,32,1.3901831177831276
r,103,32,27,1.3901831177831276
r,104,31,32,1.1245551019629074
r,105,32,31,1.1245551019629074
c,0,12,0,9,*
c,1,24,22,4,*
c,2,31,13,3,*
c,3,10,24,0,*
c,4,17,32,5,*
c,5,24,32,3,*
c,6,25,12,1,*
c,7,18,27,8,*
c,8,9,23,9,*
c,9,26,20,9,*
c,10,30,13,7,*
c,11,3,19,9,*
c,12,29,11,7,*
c,13,29,9,8,*
c,14,15,2,5,*
c,15,9,8,1,*
c,16,30,15,4,*
c,17,25,24,4,*
c,18,28,10,7,*
c,19,29,5,7,*
c,20,25,27,5,*
c,21,17,14,1,*
c,22,6,11,7,*
c,23,17,0,6,*
c,24,15,31,6,*
c,25,21,12,1,*
c,26,20,10,5,*
c,27,22,24,7,*
c,28,21,4,9,*
c,29,17,12,3,*
c,30,27,7,8,*
c,31,8,6,1,*
c,32,13,18,2,*
c,33,2,26,5,*
c,34,20,15,9,*
c,35,6,7,9,*
c,36,3,5,2,*
c,37,28,25,0,*
c,38,14,25,9,*
c,39,19,25,7,*
c,40,2,23,6,*
c,41,23,16,6,*
c,42,22,13,9,*
c,43,0,32,8,*
